,Log_Post_Quantidade_Somado,Login_Quantidade,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Numero_Dias_Acessados_Modulo_Somado,Log_View_Quantidade_Somado,Evadido,CodigoTurma
355,3,4,4,6590,7,60,1,5490
356,19,11,2,15634,11,97,1,5490
357,2,6,4,5835,5,36,1,5490
358,5,29,8,25782,11,249,0,5490
359,0,15,0,17574,12,159,1,5490
360,0,0,0,921,3,4,1,5490
361,0,10,7,3860,5,55,1,5799
362,2,1,3,4494,7,34,1,5799
363,18,2,11,12071,6,63,1,5799
364,2,4,4,7427,12,89,1,5799
365,2,3,2,2140,6,20,1,5799
366,0,11,0,7584,5,74,1,5799
367,27,12,5,14526,15,112,1,5799
368,2,8,2,4745,2,37,1,5799
369,2,12,4,6198,12,97,0,5799
370,0,4,0,6481,9,33,1,5799
371,15,16,4,36499,16,281,0,5799
372,9,1,2,6208,7,43,0,5799
373,4,9,3,15380,4,87,0,5799
374,2,3,5,4014,8,69,0,5799
375,34,5,2,12601,12,58,1,5799
376,0,9,2,9841,12,74,1,5799
377,8,5,2,7532,6,29,0,5799
378,1,4,0,9823,10,76,1,5799
379,3,6,4,4988,9,65,0,5799
380,4,5,3,2496,5,34,1,5799
381,2,8,3,7469,10,41,1,5799
382,2,8,4,15702,10,113,1,5799
383,2,7,3,10727,10,96,1,5799
384,2,3,6,2595,4,30,1,5799
385,5,3,3,11721,13,162,0,5799
386,3,3,4,6221,5,64,0,5799
387,38,26,19,39533,18,335,1,5799
388,2,3,3,6807,9,55,1,5799
389,22,11,4,23383,6,107,0,6030
390,3,7,11,2957,3,36,1,6030
391,2,3,2,3267,3,22,1,6030
392,19,14,20,16197,8,142,1,6030
393,0,0,3,2259,3,12,1,6030
394,0,3,3,1798,3,32,1,6030
395,0,0,0,49,1,2,1,6030
396,0,0,0,0,0,0,1,6030
397,8,9,6,10621,4,65,0,6030
398,11,3,13,14623,10,92,0,6030
399,4,4,10,26355,13,213,1,6030
400,4,0,0,10292,5,68,1,6030
401,8,4,8,5126,5,36,0,6030
402,22,16,13,12304,7,158,1,6030
403,36,30,19,35865,17,309,1,6030
404,3,2,1,6574,8,36,1,6030
405,1,7,8,15252,12,56,1,6030
406,6,0,0,4659,4,31,1,6030
407,3,15,8,32281,14,212,1,6030
408,25,22,13,40990,18,212,0,6030
409,0,2,1,3587,8,41,1,6030
410,19,16,12,30882,14,341,0,6030
411,17,32,13,26815,15,289,1,6030
412,23,19,13,33059,20,186,0,6030
413,4,7,11,8083,7,100,1,6030
414,13,16,10,30094,12,274,1,6030
415,12,21,16,26778,12,275,1,6030
416,2,20,7,19469,9,196,1,6030
417,0,10,9,16951,9,122,1,6030
418,6,4,3,9271,4,110,1,6030
419,2,11,6,25255,12,203,0,6400
420,5,7,6,16216,13,203,1,6400
421,3,31,4,44395,15,372,0,6400
422,1,8,5,8173,7,87,1,6400
423,2,13,3,5514,4,69,1,6400
424,0,0,0,0,0,0,1,6400
425,2,6,3,6103,9,39,1,6400
426,8,21,5,19681,14,121,1,6400
427,0,0,0,0,0,0,1,6400
428,0,2,0,1828,4,11,1,6400
429,0,0,0,0,0,0,1,6400
430,2,6,6,12205,15,106,1,6400
