,Log_Post_Quantidade_Somado,Login_Quantidade,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Numero_Dias_Acessados_Modulo_Somado,Log_View_Quantidade_Somado,Evadido,CodigoTurma
586,2,5,3,3727,6,54,1,6895
587,13,15,13,13990,7,201,1,6895
588,7,4,1,12711,11,81,1,6895
589,2,13,6,12500,11,145,0,6895
590,2,6,5,6398,5,44,1,6895
591,13,6,4,8510,3,73,0,6895
592,3,10,0,12369,15,91,1,6895
593,6,8,7,9737,12,51,1,6895
594,4,7,6,5770,11,49,1,6895
595,3,7,3,13804,8,60,1,6895
596,0,3,0,2852,2,37,1,6895
597,0,6,4,7454,10,82,1,6895
598,0,3,1,16234,12,74,0,6895
599,0,1,0,2357,5,17,1,6895
600,2,10,3,7849,4,62,1,6895
601,2,11,7,3332,6,27,1,6895
602,4,8,10,19329,6,137,1,6895
603,2,4,4,11028,5,56,1,6895
604,4,10,2,8185,7,92,1,6895
605,11,13,8,22266,13,124,1,6895
606,3,8,5,12986,6,81,0,6895
607,0,0,0,2417,4,31,1,6895
608,18,13,2,19312,11,118,0,6895
609,7,7,8,8587,8,88,1,6895
610,4,8,6,10145,9,61,1,6895
611,29,10,16,26850,12,137,1,6895
612,0,2,2,2476,6,33,1,6895
613,2,8,5,8108,5,44,0,6895
614,4,4,4,6061,4,38,1,6895
615,3,5,4,11247,5,52,1,7114
616,2,1,5,5069,5,43,1,7114
617,4,8,7,11283,8,129,1,7114
618,2,14,11,9035,12,61,1,7114
619,0,7,2,9878,7,79,1,7114
620,5,8,8,7155,9,65,1,7114
621,2,2,3,7038,5,54,1,7114
622,4,16,31,29661,16,228,1,7114
623,22,3,9,13755,11,90,0,7114
624,3,7,11,6524,8,71,1,7114
625,0,1,1,2880,5,27,1,7114
626,5,12,6,7831,6,74,0,7114
627,1,11,4,9001,7,66,1,7114
628,0,0,0,0,0,0,1,7114
629,0,0,0,0,0,0,1,7114
630,10,31,19,14309,6,126,1,7114
631,10,9,6,18260,7,140,1,7114
632,1,3,2,7800,6,51,1,7114
633,20,8,14,34586,12,248,0,7114
634,2,2,8,19128,11,137,0,7114
635,10,6,7,17697,8,76,0,7114
636,2,6,5,7580,7,38,1,7114
637,10,27,10,20959,12,149,0,7114
638,5,11,8,12066,15,113,0,7114
639,3,21,6,24113,11,123,0,7114
640,0,2,4,2680,5,25,1,7114
641,4,3,4,5648,6,45,1,7114
642,5,8,8,11126,6,142,1,7114
643,4,13,6,15221,13,116,1,7114
644,22,26,23,38385,19,327,0,7114
645,11,6,7,21701,13,103,0,7114
646,10,11,10,13323,8,89,1,7114
647,14,17,11,21426,14,145,1,7114
648,9,20,5,28645,10,388,0,7114
649,7,11,8,12028,7,134,1,7114
650,2,12,11,11457,11,77,1,7297
651,4,18,14,7266,10,107,0,7297
652,8,52,33,18992,14,228,1,7297
653,0,1,0,1009,2,6,1,7297
654,3,4,3,5281,4,41,1,7297
655,0,0,0,0,1,1,1,7297
656,0,0,0,0,0,0,1,7297
657,8,7,9,9841,10,65,1,7297
658,0,0,0,300,1,1,1,7297
659,9,16,4,16535,10,137,0,7297
660,2,12,4,10083,11,71,0,7297
661,2,8,8,4273,8,53,0,7297
662,0,0,0,0,0,0,1,7297
663,0,0,0,537,1,4,1,7297
664,2,8,4,9985,9,82,1,7297
665,2,7,5,7705,5,47,0,7297
666,2,4,5,5108,9,30,0,7297
667,4,20,2,26706,15,194,0,7297
668,0,0,0,300,1,1,1,7297
669,2,4,3,4112,6,32,0,7297
670,5,15,12,12408,9,120,0,7297
671,1,0,0,981,2,16,1,7297
672,0,0,0,747,2,5,1,7297
673,0,3,0,2615,3,14,1,7297
674,1,9,2,7128,10,61,1,7297
675,0,1,0,7693,5,30,1,7297
676,6,3,1,6107,7,33,1,7297
677,5,22,35,12370,7,118,0,7297
678,0,0,0,0,0,0,1,7297
679,0,0,0,0,0,0,1,7297
680,6,8,5,14972,11,83,0,7297
681,0,0,0,0,0,0,1,7297
682,0,0,0,0,0,0,1,7297
683,0,6,6,8108,6,44,1,7297
684,20,37,28,31833,15,271,1,7297
685,3,13,12,17094,6,134,0,7297
686,69,8,3,28208,10,140,0,7297
687,3,6,1,13406,8,55,1,7411
688,7,41,6,32023,12,237,0,7411
689,1,28,2,17825,11,202,1,7411
690,9,139,15,63157,17,856,1,7411
691,0,0,0,2567,3,23,1,7411
692,1,2,0,3399,5,22,1,7411
693,2,13,2,13391,11,82,1,7411
694,4,12,5,8892,10,80,1,7411
695,1,20,8,7855,6,63,1,7411
696,0,20,4,10507,9,89,1,7411
697,4,14,2,19418,12,173,0,7411
698,6,32,3,36284,15,260,1,7411
699,0,13,6,6676,8,55,0,7411
700,0,2,3,3042,5,26,0,7411
701,0,6,2,4058,7,48,1,7411
702,2,12,3,8628,6,95,0,7411
703,1,5,0,9201,6,59,1,7411
704,1,0,0,2304,2,21,1,7411
705,0,12,3,6922,6,84,0,7411
706,0,6,0,7730,9,55,1,7411
707,2,0,0,3313,4,46,1,7411
708,0,0,0,10217,6,63,1,7411
709,0,0,1,2077,3,8,1,7411
710,1,7,2,11367,6,47,1,7411
711,0,14,1,11774,6,81,1,7411
712,7,13,3,8174,9,77,1,7411
713,0,0,0,1795,4,12,1,7411
714,0,9,3,5197,6,36,0,7411
715,0,13,5,5283,6,62,0,7411
716,23,64,4,60158,14,381,0,7411
717,8,30,7,62689,19,406,0,7411
718,19,13,8,29742,18,247,0,7411
719,14,56,24,29612,14,236,1,7411
720,13,18,8,29971,11,243,0,7411
721,19,63,11,33592,17,452,0,7411
722,11,17,7,17716,10,181,1,7411
723,25,17,5,12526,8,142,0,7411
724,4,72,8,40518,15,362,0,7411
725,12,28,5,38166,12,241,0,7411
726,5,40,5,46538,16,426,0,7411
727,5,40,5,46538,16,426,0,7411
728,9,22,10,17427,13,186,1,7411
729,11,0,2,13725,5,120,1,7411
730,6,18,9,17424,8,178,0,7411
731,4,57,11,56420,21,412,0,7411
732,0,10,8,18930,9,119,0,7411
733,6,17,2,18212,10,185,1,7411
734,0,0,0,0,1,1,1,7411
