,Questionario_Quantidade_Somado,Forum_TempoUso_Somado,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Login_Quantidade,Turno_TempoUsoTotal_Somado,Evadido,CodigoTurma
126,3,1005,47,6872,11,51279,0,4429
127,3,577,62,2349,14,45904,0,4429
128,0,0,2,0,0,8228,1,4429
129,0,0,3,0,0,6147,1,4429
130,0,0,7,300,0,19742,1,4429
131,2,2036,247,5208,20,93505,0,4429
132,1,0,21,1918,0,25693,1,4429
133,3,0,39,5403,8,21809,0,4429
134,2,21,15,4354,20,25188,0,4428
135,1,0,18,989,0,12497,1,4429
136,3,4787,72,5464,12,63907,0,4429
137,3,2962,47,5757,21,38437,0,4428
138,3,601,58,7409,22,31110,0,4428
139,2,0,33,2597,1,41850,0,4428
140,2,3321,65,3297,27,51836,0,4428
141,3,0,56,9943,5,33149,0,4428
142,3,3596,46,9008,22,65951,0,4428
143,2,1223,26,2483,8,30794,0,4428
144,3,1798,24,3447,20,26014,0,4428
145,2,6395,31,1962,28,40029,0,4428
146,3,2354,46,3327,9,52208,0,4428
147,2,1504,22,2253,14,33695,0,4428
148,3,3152,87,8535,14,115625,0,4428
149,3,3248,136,14150,59,86258,0,4429
150,1,300,19,1131,4,25652,1,4429
151,3,356,59,4984,7,54529,0,4428
152,0,0,1,0,0,3936,1,4428
153,3,182,22,4263,10,33348,0,4428
154,3,0,30,4488,3,12579,1,4428
155,0,0,0,0,0,163,1,4428
156,3,1908,37,3592,2,22932,1,4428
157,3,4200,35,4208,17,70621,0,4428
158,2,14213,44,8059,23,73761,0,4428
159,0,0,0,0,0,3590,1,4428
160,0,0,3,315,0,8728,1,4428
161,0,0,0,0,0,0,1,4428
162,0,0,0,0,0,7645,1,4429
163,3,637,50,3626,4,22561,0,4429
164,3,1441,31,6437,17,35744,0,4429
165,0,492,16,691,4,23188,1,4429
166,3,659,51,4884,8,20961,0,4428
167,2,11,14,2050,4,20101,0,4428
168,2,699,22,1305,9,11409,0,4428
169,3,1014,44,3724,6,29524,0,4428
170,3,1072,96,9699,16,67080,0,4428
171,3,1392,32,2625,8,30753,0,4428
172,3,349,56,5101,23,16577,0,4428
173,2,1079,15,2343,15,15679,0,4428
174,2,1760,18,4512,1,23263,0,4428
175,3,782,32,5992,9,30862,0,4428
176,2,2789,18,1530,9,27634,0,4428
177,3,1087,37,2240,12,62946,0,4428
178,3,2855,61,9266,14,43469,0,4428
179,0,0,0,0,0,0,1,4428
180,3,3159,47,4024,18,57432,0,4428
