,Log_Post_Quantidade_Somado,Login_Quantidade,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Numero_Dias_Acessados_Modulo_Somado,Log_View_Quantidade_Somado,Evadido,CodigoTurma
0,2,3,5,19409,12,129,1,4603
1,7,2,10,23637,22,198,0,4603
2,4,6,6,14619,16,141,1,4603
3,0,0,0,0,1,1,1,4603
4,86,16,12,42878,20,256,0,4603
5,5,6,7,14608,11,90,1,4603
6,0,0,0,0,0,0,1,4603
7,4,5,10,15336,18,163,1,4603
8,10,0,6,16381,15,177,1,4603
9,0,0,0,0,0,0,1,4603
10,23,8,25,29659,20,226,1,4448
11,9,7,23,30276,28,200,0,4448
12,24,44,18,79556,30,614,0,4448
13,42,0,16,23294,18,202,0,4448
14,20,0,34,20228,17,126,1,4448
15,1,1,1,4973,11,44,1,4448
16,4,2,12,20123,10,157,0,4448
17,77,15,17,36976,17,282,0,4433
18,5,9,27,18557,20,186,0,4433
19,5,65,31,77850,31,671,0,4433
20,0,0,0,315,1,4,1,4433
21,0,0,0,3191,8,18,1,4433
22,109,26,22,57304,31,594,0,4433
23,23,43,75,100936,38,758,0,4434
24,18,10,40,34670,17,268,1,4434
25,0,0,0,0,0,0,1,4434
26,1,0,7,6587,6,76,1,4434
27,4,1,15,6499,12,48,0,4435
28,6,10,12,19175,15,190,0,4435
29,23,27,32,85574,33,821,1,4435
30,136,13,31,40298,21,220,1,4435
31,45,0,10,9329,10,40,1,4435
32,13,5,13,34340,20,310,1,4435
33,33,4,15,19584,13,139,0,4435
34,1,2,12,20746,14,147,1,4433
35,15,2,19,32161,16,162,1,4433
36,6,16,22,29970,18,184,0,4433
37,13,7,18,19500,22,126,0,4433
38,1,1,4,5517,9,69,1,4434
39,32,6,18,22511,21,218,1,4434
40,16,14,30,27773,22,301,0,4434
41,20,5,9,18905,19,105,1,4434
42,28,1,13,25843,18,203,1,4434
43,4,6,21,32705,15,250,1,4435
44,10,10,18,32222,22,269,0,4435
45,54,7,18,40143,22,328,0,4435
46,72,0,13,14384,7,48,0,4435
47,122,3,18,44210,21,303,0,4435
48,15,0,16,13887,9,59,1,4435
49,132,11,36,42991,34,271,0,4435
50,4,10,27,47048,26,594,1,4114
51,26,21,14,22904,12,223,1,4114
52,8,28,20,50455,26,463,0,4114
53,2,11,10,25391,14,118,0,4434
54,16,4,7,18923,18,159,0,4603
55,22,8,9,35046,26,233,0,4603
56,25,0,17,18086,15,166,0,4603
57,4,3,5,22013,14,106,0,4603
58,26,0,1,19229,10,101,1,4603
59,4,13,2,25617,22,197,0,4603
60,6,6,13,19992,17,150,0,4603
61,11,0,3,22600,10,159,1,4603
62,9,0,5,25162,13,188,1,4603
63,5,3,19,7131,13,78,1,4603
64,4,3,5,5685,8,46,0,4603
65,5,5,15,32667,16,208,0,4448
66,19,4,22,34382,30,272,0,4448
67,0,0,2,1933,3,10,1,4448
68,25,14,13,45880,21,268,0,4448
69,3,1,6,13376,11,168,1,4435
70,6,3,15,16399,12,98,1,4435
71,0,1,0,4615,6,24,1,4435
72,14,19,24,27776,22,276,0,4434
73,5,9,15,42143,21,207,0,4434
74,6,5,8,16025,18,117,1,4434
75,0,0,0,672,1,16,1,4435
76,11,25,35,44026,29,471,0,4435
77,0,0,0,0,0,0,1,4435
78,14,24,37,44910,27,274,0,4435
79,4,1,8,13780,10,88,0,4434
80,48,9,20,24580,18,117,0,4434
81,19,13,20,41916,24,372,0,4434
82,9,6,17,14576,14,100,1,4434
83,9,11,29,49721,23,407,1,4434
84,32,14,30,64541,24,541,0,4435
85,4,1,21,7049,11,63,0,4435
86,2,9,6,9084,6,47,1,4435
87,4,8,14,26577,21,286,0,4435
88,8,3,18,9693,12,56,0,4435
89,2,1,3,8249,6,48,1,4435
90,4,0,7,12719,13,57,0,4435
91,5,1,15,26065,19,163,0,4433
92,5,9,17,27895,19,259,0,4433
93,6,26,36,31113,29,390,0,4433
94,2,2,8,12195,9,79,1,4434
95,0,0,5,2320,7,22,1,4434
96,0,0,0,300,2,2,1,4434
97,124,3,12,38200,19,306,1,4433
98,0,0,0,0,0,0,1,4433
99,0,0,0,47,1,2,1,4433
100,1,3,14,29254,16,219,1,4433
101,4,4,23,18470,22,139,0,4433
102,18,14,22,38278,30,504,1,4434
103,4,30,39,41147,23,318,1,4434
104,0,0,0,1548,5,8,1,4434
105,9,15,51,34765,26,419,0,4434
106,28,21,22,68807,23,709,0,4434
107,0,0,0,0,0,0,1,4434
108,12,8,13,33035,18,476,0,4435
109,13,7,31,45281,28,381,0,4435
110,24,24,22,75683,33,640,0,4435
111,3,5,9,13806,19,130,1,4435
112,0,1,13,7717,11,110,1,4434
113,2,0,7,7075,6,51,1,4434
114,4,9,16,15237,15,92,1,4434
115,7,11,14,30451,25,183,0,4434
116,4,1,11,11425,9,80,1,4434
117,3,11,3,16364,8,104,1,4434
118,0,6,5,13688,13,88,1,4434
119,0,6,5,13688,13,88,1,4434
120,11,16,16,30130,26,317,1,4434
121,8,7,7,26939,13,280,1,4435
122,24,2,15,31658,10,184,0,4435
123,41,53,27,107829,39,929,0,4435
124,4,0,7,4255,5,72,1,4433
125,1,0,4,2745,3,51,1,4433
126,15,1,15,9726,10,58,1,4433
127,0,0,0,1159,3,17,1,4433
128,2,5,9,5069,10,38,1,4434
129,10,7,21,23170,20,186,0,4434
130,45,5,12,47216,19,272,0,4434
131,2,1,9,2871,8,26,1,4433
132,4,7,21,13307,16,112,0,4433
133,9,1,18,16851,12,95,1,4433
134,0,0,0,0,0,0,1,4433
135,78,32,34,48104,22,376,0,4433
136,18,6,27,24473,18,180,0,4433
137,8,3,18,10868,13,96,0,4434
138,16,27,25,29926,23,251,0,4434
139,12,17,49,54210,27,712,0,4434
140,18,17,9,23337,13,199,1,4434
141,0,4,22,25306,22,174,1,4435
142,1,3,16,13060,7,124,1,4435
143,3,0,14,8152,7,101,1,4435
144,66,12,21,55915,32,327,0,4435
145,2,0,13,8790,7,71,1,4435
146,6,3,12,27019,20,159,1,4434
147,8,0,2,8182,8,61,1,4434
148,0,0,0,0,0,0,1,4433
149,0,0,0,0,0,0,1,4433
150,6,6,48,61590,24,477,0,4433
151,1,0,4,11631,4,58,1,4433
152,8,4,30,18254,21,151,1,4433
153,0,0,5,3307,8,29,1,4433
154,0,0,2,4877,5,71,1,4114
155,2,1,0,4228,3,29,1,4114
156,0,0,0,0,0,0,1,4114
157,5,0,6,14950,8,120,1,4114
158,14,0,6,16072,10,181,1,4114
159,0,0,3,7643,10,45,1,4114
160,1,0,5,1890,4,52,1,4114
161,1,0,1,4791,4,41,1,4114
162,46,16,14,27989,17,202,1,4114
163,10,4,8,14609,14,95,1,4114
164,10,8,22,23912,25,258,0,4114
165,68,12,22,45504,21,469,1,4114
166,5,8,10,35391,25,273,1,4114
167,42,21,15,45423,36,396,0,4114
168,5,5,14,10643,15,80,1,4114
169,37,8,9,52063,21,298,0,4114
170,0,0,1,1897,3,25,1,4114
171,2,10,7,18964,11,109,1,4114
172,8,10,23,31415,22,290,1,4114
173,85,3,5,23892,16,208,1,4114
174,4,5,5,6650,11,45,1,4114
175,10,4,7,25930,26,203,1,4114
176,18,5,14,14646,14,143,1,4114
177,2,5,5,16283,13,129,1,4114
178,6,5,7,17713,14,161,0,4114
179,6,1,10,18377,17,191,1,4114
180,8,2,15,9122,14,90,1,4114
181,6,13,21,18600,27,197,0,4917
182,0,0,11,6949,11,85,1,4917
183,3,2,3,18322,19,110,1,4917
184,6,9,4,9000,13,82,0,4917
185,7,21,18,48889,28,306,0,4917
186,0,1,1,4423,10,36,1,4917
187,0,0,0,433,2,10,1,4917
188,24,12,17,25928,26,202,0,4917
189,4,6,10,8229,20,67,1,4917
190,0,0,1,1725,4,7,1,4917
191,16,4,14,33766,25,255,0,4917
192,7,2,3,13150,10,94,1,4917
193,0,1,1,7605,5,53,1,4917
194,1,0,0,5526,3,53,1,4917
195,0,0,0,802,2,6,1,4917
196,4,5,11,26304,8,179,0,4917
197,83,5,16,41246,26,250,0,4917
198,1,5,4,16722,16,144,1,4917
199,1,1,0,9780,6,80,1,4917
200,4,2,8,12856,14,71,0,4917
201,3,0,2,6474,6,62,1,4917
202,4,1,6,3928,7,31,1,4917
203,18,0,5,19366,14,152,1,4917
204,5,5,11,22439,21,111,0,4917
205,16,4,12,25786,27,169,1,4917
206,121,13,17,58816,29,450,0,4917
207,1,0,1,10302,8,102,1,4917
208,0,0,7,9533,12,103,1,5061
209,3,2,36,32820,21,307,1,5061
