,Turno_TempoUsoTotal_Somado,Login_Quantidade,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Log_View_Quantidade_Somado,Numero_Dias_Acessados_Modulo_Somado,Evadido,CodigoTurma
431,5918,6,2,0,73,5,0,5714
432,26145,38,68,45,193,21,0,5714
433,405,0,0,0,8,2,1,5714
434,9147,5,3,0,45,7,0,5714
435,0,0,0,0,0,0,1,5714
436,13124,8,2,0,111,7,1,5714
437,3129,4,1,0,14,6,1,5714
438,13013,6,0,0,129,10,1,5714
439,4332,1,1,0,21,4,1,5714
440,153,0,0,0,2,1,1,5714
441,2394,1,3,0,14,5,1,5714
442,14592,12,11,14,107,12,0,5714
443,5910,1,1,0,54,3,1,5714
444,4584,2,1,0,51,8,0,5714
445,3797,2,0,0,22,8,0,5714
446,28698,24,46,0,225,15,0,5714
447,18083,10,28,3,167,11,0,5714
448,2624,1,1,0,22,6,1,5714
449,4242,0,1,0,54,3,1,5714
450,13403,9,15,0,129,9,1,5714
451,2529,4,0,0,17,4,1,5714
452,20198,12,45,0,140,5,0,5714
453,6327,8,1,0,48,13,1,5714
454,755,0,0,0,10,2,1,5714
455,7851,4,6,0,54,9,1,5714
456,2303,1,2,0,19,4,0,5714
457,11687,5,4,0,102,8,0,5714
458,10387,12,1,0,88,12,1,5714
459,0,0,0,0,0,0,1,5714
460,4696,1,4,0,21,5,1,5714
461,6800,2,4,0,59,7,0,5714
462,16855,2,65,0,56,7,1,5714
463,4728,1,8,0,30,5,0,5714
464,0,0,0,0,0,0,1,5714
465,4521,2,0,0,31,6,0,5714
466,12524,17,3,0,125,7,0,5714
467,16038,9,9,0,82,9,0,5714
468,1766,2,0,0,14,4,1,5714
469,2299,0,0,0,26,4,1,5714
470,0,0,0,0,0,0,1,5714
471,15040,4,13,0,84,10,1,5714
472,5068,4,0,0,47,5,1,6388
473,2183,4,1,0,17,4,1,6388
474,16134,14,7,0,177,9,0,6388
475,4725,4,7,0,41,7,0,6388
476,22132,13,13,0,186,14,0,6388
477,19872,1,3,0,123,8,1,6388
478,0,0,0,0,0,0,1,6388
479,10748,5,8,0,99,15,0,6388
480,4094,6,1,0,31,6,1,6388
481,4500,2,1,0,21,5,1,6388
482,3279,6,1,0,28,8,0,6388
483,967,0,0,0,9,4,1,6388
484,5796,10,2,0,37,4,1,6388
485,21770,18,20,0,113,16,0,6388
486,10872,16,8,0,137,8,1,6388
