,Turno_TempoUsoTotal_Somado,Login_Quantidade,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Log_View_Quantidade_Somado,Numero_Dias_Acessados_Modulo_Somado,Evadido,CodigoTurma
0,3399,1,0,0,32,4,1,4605
1,28693,11,37,638,237,23,1,4605
2,41501,9,47,1414,432,22,0,4605
3,14504,3,12,66,190,10,0,4605
4,9122,1,10,1397,62,9,1,4605
5,1004,1,0,0,7,3,1,4605
6,22691,2,26,185,96,8,1,4605
7,33654,11,53,4617,284,25,0,4605
8,11791,1,0,614,160,11,1,4605
9,37661,17,47,4047,263,27,0,4604
10,1052,0,0,0,6,3,1,4604
11,9380,2,6,334,67,10,1,4604
12,0,0,0,0,0,0,1,4604
13,24209,6,39,3040,177,16,1,4605
14,1040,0,0,0,18,2,1,4605
15,21069,9,23,1729,193,12,1,4605
16,38539,3,31,50,257,27,0,4605
17,7037,2,8,443,54,8,1,4605
18,38263,18,45,2844,393,30,0,4605
19,0,0,0,0,0,0,1,4605
20,27759,2,9,956,184,21,1,4605
21,52649,14,55,6613,291,27,0,4605
22,54301,20,38,7510,491,21,0,4605
23,37990,10,41,4635,492,24,0,4605
24,19897,25,5,125,173,10,0,4605
25,15061,3,12,1870,91,13,1,4605
26,3018,0,1,0,32,4,1,4605
27,7325,0,1,0,57,8,1,4605
28,20329,11,35,2438,137,19,1,4605
29,22146,7,22,3556,166,20,0,4605
30,9351,3,1,356,55,8,1,4605
31,5850,0,0,300,27,5,1,4605
32,32224,21,53,7041,384,25,1,4605
33,0,0,0,0,0,0,1,4605
34,19030,4,11,772,225,20,1,4604
35,62225,41,78,7612,502,24,0,4604
36,34296,5,28,3979,352,19,0,4604
37,41921,19,37,2879,516,31,1,4604
38,17194,9,12,1558,101,20,0,4604
39,33140,9,35,1828,194,25,0,4604
40,32027,12,19,2123,264,30,0,4604
41,0,0,0,0,0,0,1,4604
42,43884,12,31,3518,516,26,0,4604
43,2330,0,0,0,15,4,1,4604
44,3165,0,0,0,26,3,1,4604
45,0,0,0,0,0,0,1,4604
