,Questionario_Quantidade_Somado,Forum_TempoUso_Somado,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Login_Quantidade,Turno_TempoUsoTotal_Somado,Evadido,CodigoTurma
0,1,2069,11,1467,5,12793,1,4912
1,1,4212,20,2392,12,32054,0,4428
2,0,0,0,0,0,2027,1,4428
3,0,308,2,630,3,6228,0,4428
4,0,658,5,215,3,13692,1,4428
5,1,3700,20,3287,13,21431,0,4428
6,1,1712,15,1357,13,19295,0,4428
7,1,1043,8,1110,18,20447,0,4428
8,1,859,12,2830,15,14100,1,4428
9,1,0,8,1553,3,11215,0,4428
10,1,3969,15,2575,10,23749,0,4428
11,1,2268,16,2811,4,13077,1,4428
12,1,0,16,2131,13,9906,1,4429
13,1,670,23,1966,7,14861,1,4429
14,1,1860,16,2578,20,21621,0,4429
15,1,1208,12,865,11,12644,1,4429
16,1,4538,27,2008,24,32085,0,4429
17,1,6104,58,2795,49,46123,1,4429
18,1,2460,19,1145,13,21935,1,4429
19,1,7536,15,1789,29,32514,0,4429
20,1,1711,42,1299,11,20861,0,4429
21,1,3321,43,1979,11,28665,1,4429
22,0,1172,4,0,1,9948,1,4429
23,1,608,7,245,5,14988,0,4429
24,1,319,5,405,9,16799,0,4429
25,0,0,1,0,0,3929,1,4428
26,1,1892,14,935,18,26192,0,4428
27,1,2498,16,1498,9,12321,0,4428
28,0,300,13,18,4,66898,0,4428
29,1,3460,14,959,14,28411,0,4428
30,1,11432,20,1578,29,41313,0,4428
31,1,4902,19,1620,34,26856,0,4428
32,1,11936,38,5295,43,67985,0,4428
33,0,0,1,0,0,3293,1,4428
34,0,447,2,0,5,6934,0,4428
35,0,0,0,0,0,0,1,4428
36,1,5110,20,988,9,19409,0,4224
37,1,405,9,810,4,15562,0,4224
38,0,158,12,747,5,20366,1,4224
39,1,5962,12,3501,32,23657,0,4224
40,1,1338,12,557,8,11922,0,4224
41,1,2742,15,2336,16,25379,0,4224
42,1,3206,13,1804,20,15254,0,4224
43,1,1241,17,616,15,29636,0,4224
44,1,2426,16,2203,29,25472,0,4224
45,1,3470,24,2521,16,33612,0,4224
46,1,3795,26,1955,12,21917,0,4224
47,1,7988,15,1395,32,43036,0,4224
48,1,3536,14,1899,14,21906,0,4224
49,1,2085,44,3732,33,40079,0,4224
50,1,8107,22,1343,30,45422,0,4224
51,1,4627,11,738,22,20322,0,4224
52,1,2032,16,1810,11,26677,0,4224
53,1,2349,27,1505,15,28755,0,4224
54,1,1621,26,1425,5,24672,0,4224
55,1,8692,93,6865,43,55702,0,4224
56,1,1562,15,836,9,11197,0,4224
57,1,1177,7,850,7,14003,0,4429
58,1,5522,18,1109,26,22935,0,4429
59,1,4314,33,1080,8,34484,0,4429
60,1,4266,24,2117,13,26112,1,4429
61,1,0,8,1112,2,7433,1,4429
62,1,12500,19,1509,23,31204,0,4429
63,1,1070,28,1213,9,30818,1,4429
64,0,0,2,0,0,4255,1,4429
65,0,0,0,0,0,0,1,4429
66,1,3953,13,1801,13,38124,0,4428
67,1,4723,9,1736,26,22459,1,4428
68,1,3511,12,737,7,18974,0,4428
69,1,3334,21,1103,13,21953,0,4428
70,0,552,14,0,2,23154,1,4428
71,1,3904,11,1229,16,21735,0,4428
72,0,0,1,0,0,5115,1,4428
73,1,6691,17,2683,34,33623,1,4428
74,1,2308,38,1058,16,33670,0,4429
75,1,10310,26,2451,33,46821,0,4429
76,1,4511,30,1989,14,35164,0,4429
77,1,1741,16,2043,10,15235,1,4429
78,0,0,0,0,0,0,1,4429
79,1,6276,20,1743,55,31046,0,4429
80,1,7318,28,869,27,36158,0,4429
81,1,2589,24,1260,6,22318,0,4429
82,1,3730,45,724,9,24007,1,4429
83,1,5839,23,947,14,29464,0,4429
84,1,5223,22,1087,16,36738,0,4429
85,1,8552,140,583,15,35348,0,4429
86,1,213,12,955,8,13936,1,4429
87,1,1824,71,3302,6,27860,1,4429
88,1,3932,17,2282,14,19758,1,4429
89,1,2435,9,1724,19,18117,0,4429
