,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Log_View_Quantidade_Somado,Login_Quantidade,Resource_View_Tempo_Somado,Forum_TempoUso_Somado,Evadido,CodigoTurma
128,23,43391,264,55,11491,1574,1,4916
129,5,6760,74,2,2847,0,1,4916
130,13,11320,81,10,2843,0,1,4916
131,0,2470,10,1,642,0,1,4916
132,29,10033,77,13,1718,0,1,4916
133,0,0,0,0,0,0,1,4916
134,8,18707,103,10,6430,0,1,4916
135,51,18463,258,19,6097,748,0,4916
136,5,10613,48,3,2712,0,1,4916
137,50,14850,174,12,2538,98,0,4916
138,0,1852,8,0,0,0,1,4916
139,18,31634,203,32,10020,2543,0,4916
140,31,11147,133,33,3635,375,1,4916
141,0,5031,40,0,3684,0,1,4916
142,39,24459,148,10,8670,2016,0,4916
143,19,27172,196,18,9160,0,0,4916
144,0,1138,4,0,0,0,1,4916
145,1,24362,189,3,7349,830,1,4916
146,3,17877,100,6,2283,1854,1,4916
147,30,71220,428,24,12561,1220,0,4916
148,12,24990,192,8,3891,1088,1,4916
149,17,26523,168,12,5643,349,0,4916
150,41,53241,347,31,16879,1288,1,4916
151,7,38690,207,26,15747,951,0,4916
152,56,53642,361,39,15448,1701,0,4916
153,8,29079,233,16,15758,306,1,4916
154,23,41479,284,28,11576,1796,0,4916
155,12,19961,108,9,3377,300,1,4916
156,4,19048,94,7,5160,0,1,4916
157,35,36362,270,37,10536,2633,0,4916
158,9,29735,183,13,8859,1992,0,4916
159,9,47157,206,8,7881,72,0,4916
160,18,32868,157,12,10804,0,1,4916
161,13,19086,134,18,7933,6,0,4916
162,0,13782,64,0,5425,0,1,4916
163,33,30681,211,11,5322,1288,0,4916
164,1,14740,72,8,6180,3,1,4916
165,22,33668,224,11,14263,1182,0,4916
166,14,45006,304,31,11944,3882,0,4916
167,44,51814,302,30,14022,0,0,4916
168,31,42108,291,43,10129,10255,0,4916
169,5,18603,131,6,7170,0,1,4916
170,17,17934,107,21,2605,676,1,4916
171,31,28050,149,14,8836,170,1,4916
172,33,25583,270,6,6929,0,0,4916
173,0,1828,23,0,607,0,1,4916
174,40,38845,400,39,7655,940,1,4916
175,12,41397,157,17,14236,0,0,4916
176,0,8968,38,1,2046,0,1,4916
177,14,30154,139,11,15913,0,0,4916
178,0,1005,7,1,304,0,1,4916
179,5,22316,148,2,10256,0,1,4916
180,25,24032,175,8,8609,103,0,4916
181,9,21320,144,15,6393,0,0,4916
182,1,13619,135,13,3649,1326,1,4916
183,16,16772,79,9,5833,326,0,4916
184,26,20262,159,21,4819,322,0,4916
185,24,43463,295,11,16141,2475,0,4916
186,22,37980,160,23,6696,28,1,4916
187,10,17798,129,12,5575,0,1,4916
188,19,15170,143,11,5357,6,0,4916
189,26,24371,186,25,4729,936,0,4916
190,12,35167,321,8,8543,439,0,4916
191,24,31628,178,23,15361,0,0,4916
192,26,17325,192,14,3043,308,0,4916
193,0,7244,60,6,3858,0,1,4916
194,10,11025,88,12,848,315,1,4916
195,2,5385,32,7,847,0,1,4916
196,21,19868,162,11,3860,46,1,4916
197,0,5790,30,1,2931,0,1,4916
198,11,18624,113,13,6408,0,1,4916
199,23,24508,142,18,4926,0,0,4916
200,28,13302,117,9,7307,39,0,4916
201,33,51703,402,37,17100,422,1,4916
202,0,13435,96,9,9615,0,1,4916
203,35,41483,383,44,12806,4476,0,5750
204,12,6232,59,10,1892,0,0,5750
205,2,929,10,4,0,0,1,5750
206,9,6170,39,4,86,0,0,5750
207,16,25413,173,25,5847,454,1,5750
208,16,11110,84,12,2144,0,1,5750
209,11,7368,65,11,2912,162,1,5750
210,7,18147,90,0,9040,0,0,5750
211,6,5529,43,6,1147,163,1,5750
212,11,17594,123,10,1903,1122,0,5750
213,10,5284,36,8,368,492,1,5750
214,1,9949,59,2,2838,15,1,5750
215,29,33301,224,36,10197,3895,0,5750
216,17,22351,173,34,1352,2233,1,5750
217,0,5768,31,0,3631,0,1,5750
218,15,12717,108,12,4224,506,1,5750
219,2,3144,16,1,0,0,1,5750
220,20,13347,124,16,5877,2580,0,5750
221,28,33491,268,23,9410,242,0,5750
222,25,25104,176,12,5426,0,0,5750
223,13,11595,106,16,2885,2768,1,5750
224,1,7093,49,0,2487,0,1,5750
225,8,33200,170,12,15644,386,0,5750
226,23,21385,151,19,6116,957,0,5750
227,13,14641,115,11,3064,1023,1,5750
228,17,32738,150,26,1561,1112,1,5750
229,3,11137,114,4,4640,24,1,5750
230,24,53471,516,30,16180,4895,0,5750
231,13,18876,127,18,8127,1638,0,5750
232,13,16949,75,12,9665,0,0,5750
233,0,2755,22,3,1569,0,1,5750
234,23,22852,177,12,9199,1051,0,5750
235,8,18123,85,3,3861,237,1,5750
236,11,10286,50,3,3834,0,1,5750
237,20,33261,236,15,12513,659,0,5750
238,28,25862,189,36,5041,34,1,5750
239,0,19780,113,0,5554,0,0,5750
240,18,19120,142,9,6287,326,0,5750
241,27,18506,157,12,3854,542,1,5750
242,7,16761,114,18,1661,174,0,5750
243,0,3807,25,0,754,0,1,5750
244,22,37546,287,27,8208,2529,0,5750
245,18,23789,216,17,6560,1757,0,5750
246,28,48377,277,21,8095,5771,1,5750
247,0,17762,119,0,8259,0,1,5750
248,29,43907,290,40,17661,3753,0,5750
249,12,11293,62,5,3015,0,1,5750
250,4,3592,25,4,336,0,1,5750
251,20,34723,230,16,9459,302,1,5750
252,10,5629,38,5,1841,32,1,5750
253,0,1926,19,0,116,0,1,5750
254,27,40030,359,24,11708,6914,0,5750
255,24,21904,144,24,3255,1517,0,5750
256,21,23786,179,20,7074,1190,0,5750
257,17,16209,149,27,3007,0,1,5750
258,14,12249,105,15,3737,0,1,5750
259,1,1987,12,0,307,0,1,5750
260,15,27983,170,18,10044,1414,1,5750
261,0,309,3,0,0,0,1,5750
262,12,35769,243,24,11397,1278,0,5750
263,18,27049,200,19,4460,751,0,5750
264,35,41816,257,20,16677,763,0,5750
265,17,26504,142,4,8656,435,0,5750
266,1,2623,11,1,1322,0,1,5750
267,17,11817,60,8,2366,0,1,5750
268,9,17689,103,9,4034,1491,0,5750
269,15,53668,332,24,16345,3226,0,5750
270,18,14461,84,16,7519,0,1,5750
271,26,39324,300,36,8282,3113,0,5750
272,19,12958,110,6,3527,191,0,6482
273,20,16764,128,7,7804,0,0,6482
274,15,13152,78,13,4084,600,0,6482
275,23,26449,169,15,8541,150,0,6482
276,12,8901,103,11,3360,0,0,6482
277,26,16978,111,16,2180,0,1,6482
278,20,15989,99,6,707,0,1,6482
279,10,7001,53,7,772,0,1,6482
280,24,29083,152,11,6345,118,0,6482
281,40,13472,108,18,3202,0,0,6482
282,21,22956,189,11,3225,771,0,6482
283,0,2051,9,0,691,0,1,6482
284,20,16122,148,10,6505,0,1,6482
285,53,36099,287,18,12049,3058,1,6482
286,12,13351,94,11,6030,442,1,6482
287,6,5694,47,3,1480,0,1,6482
288,41,21961,171,15,6753,1187,1,6482
289,12,13691,56,7,5034,0,0,6482
290,17,17375,67,4,8818,0,1,6482
291,3,6569,26,10,1172,0,1,6482
292,21,11806,83,15,2077,192,0,6482
293,0,1634,10,0,160,0,1,6482
294,7,10566,75,5,2594,98,0,6482
295,6,4980,25,4,240,1328,1,6482
296,13,17134,64,7,1585,29,1,6482
297,2,11730,97,2,3415,0,1,6482
298,26,10275,73,8,2340,0,1,6482
299,17,22468,98,7,2968,8435,1,6482
300,1,3507,20,0,503,0,1,6482
301,0,4607,9,0,1841,0,1,6482
302,35,35220,238,28,8481,2693,0,6482
303,39,18482,195,18,4472,927,0,6482
304,30,13356,81,14,4015,78,0,6482
305,14,13595,114,8,6997,433,1,6482
306,0,300,1,0,0,0,1,6482
307,0,4703,26,0,1899,0,1,6482
308,25,14539,107,9,5773,338,0,6482
309,27,11576,110,14,911,0,0,6482
310,23,6774,75,6,783,191,0,6482
311,18,6216,67,16,1169,271,1,6482
312,32,28476,194,26,9052,1431,0,6482
313,53,18751,149,14,1895,214,1,6482
314,41,36562,177,16,8981,98,0,6482
315,2,9174,59,5,2256,0,1,6482
316,30,18346,147,10,6684,626,1,6482
317,21,24165,182,15,10626,118,1,6482
318,19,12721,112,3,4051,0,0,6482
319,11,15770,104,6,2939,1177,1,6482
320,10,21333,112,4,4130,0,0,6482
321,13,13652,63,4,3616,0,1,6482
322,1,3966,27,0,964,0,1,6482
323,14,16439,86,9,5909,54,1,6482
324,32,34767,203,39,12489,300,1,6482
325,17,36352,265,9,7671,2085,0,6482
326,1,2283,18,0,1259,0,1,6482
327,4,6551,46,2,1993,0,1,6482
328,30,22809,142,11,7796,0,1,6482
329,31,33340,192,22,10525,132,1,6482
330,20,12910,105,15,5573,0,1,6482
331,22,27357,215,11,6907,2653,0,6482
332,20,18016,98,7,3439,321,0,6482
333,28,35281,177,18,13451,2769,0,6482
334,19,23816,212,22,8260,1792,1,6482
335,38,48473,272,23,10445,3238,0,6482
336,31,27208,195,37,6849,530,1,6482
337,9,8654,65,1,2216,0,1,6482
338,33,38162,275,30,14011,725,1,6482
339,28,36735,240,22,10669,4583,0,6482
340,20,22403,126,5,9016,300,1,6482
341,1,2103,12,1,0,0,1,6482
342,8,16961,83,4,4940,0,1,6482
343,19,17352,78,12,4501,0,1,6482
344,31,13551,136,24,4799,0,1,6482
345,4,2054,17,2,1518,0,1,6482
346,32,10143,101,6,1907,0,1,6482
347,7,10812,71,4,4734,310,0,6482
348,29,14203,119,9,6542,67,0,6482
349,5,7304,45,4,2278,0,1,6482
350,16,12578,64,2,7294,0,1,6482
351,2,7596,50,0,367,0,1,6482
352,23,15046,131,16,3911,0,0,6482
353,2,7966,46,6,1185,0,1,7409
354,1,2366,26,1,701,0,1,7409
355,0,0,0,0,0,0,1,7409
356,0,6216,26,6,1064,0,1,7409
357,4,6355,36,2,3023,62,1,7409
358,14,9513,81,1,3524,0,1,7409
359,48,16680,130,31,4329,0,1,7409
360,16,9974,49,4,669,1377,1,7409
361,4,11297,102,0,2849,0,1,7409
362,23,9500,98,8,2447,0,0,7409
363,14,12903,73,2,3795,0,1,7409
364,18,21581,93,8,3261,300,0,7409
365,6,2912,21,5,0,0,1,7409
366,7,4935,37,2,543,0,1,7409
367,0,1262,9,1,998,0,1,7409
368,8,17392,113,6,6946,0,1,7409
369,5,6999,30,11,0,0,1,7409
370,0,0,1,0,0,0,1,7409
371,0,8358,40,2,2741,0,1,7409
372,29,21857,153,16,5278,1728,1,7409
373,2,2009,14,1,704,0,1,7409
374,26,34730,201,17,10162,2151,0,7409
375,20,7749,71,3,1093,0,0,7409
376,15,5869,36,5,952,0,1,7409
377,21,14394,87,3,1249,0,1,7409
378,27,21846,144,10,9849,0,0,7409
379,4,8661,29,2,19,0,0,7409
380,6,7526,22,2,343,0,0,7409
381,0,3802,30,0,1235,0,1,7409
382,20,13452,95,25,2137,251,0,7409
383,12,19299,119,5,5493,34,1,7409
384,10,22914,125,24,7372,577,1,7409
385,35,16904,142,22,4380,0,0,7409
386,6,6870,81,13,765,12,1,7409
387,28,14547,130,9,5110,0,1,7409
388,20,27656,185,20,7773,351,0,7409
389,15,18078,105,3,1303,0,1,7409
390,30,52406,281,26,11871,744,0,7409
391,18,15765,118,14,3917,63,0,7409
392,11,24995,112,13,4118,16,1,7409
393,23,18758,103,21,2713,15,0,7409
394,22,26752,159,27,7264,1075,1,7409
395,33,23604,161,19,5313,0,0,7409
396,11,12324,58,3,835,0,0,7409
397,35,24632,159,17,3465,886,1,7409
398,24,19847,105,18,4254,0,0,7409
399,12,10147,82,2,2715,0,1,7409
400,22,20676,127,7,1114,15,1,7409
401,29,22177,152,20,4474,0,0,7409
402,10,13002,77,8,4244,0,1,7409
403,0,3397,10,0,286,0,1,7409
404,22,19106,133,4,1755,337,1,7409
405,3,13079,44,0,2838,0,1,7409
406,28,20518,123,7,2024,0,0,7409
407,6,9338,59,1,2137,43,1,7409
408,6,7623,69,4,2087,0,1,7409
409,24,19399,136,13,4959,0,0,7409
410,0,1951,11,0,1017,0,1,7409
411,5,13230,93,11,1969,419,0,7409
412,2,6158,40,0,1414,0,1,7409
413,29,20300,159,7,3977,328,1,7409
414,2,3512,35,5,140,0,1,7409
415,41,23401,196,36,3543,26,0,7409
416,51,29415,214,54,1943,903,1,7409
417,8,22279,117,20,8240,0,0,7409
418,31,21919,137,42,1633,62,1,7409
419,31,24927,129,16,6482,0,0,7409
420,17,9941,61,5,3425,35,0,7409
