,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Log_View_Quantidade_Somado,Login_Quantidade,Resource_View_Tempo_Somado,Forum_TempoUso_Somado,Evadido,CodigoTurma
0,21,19644,224,13,9217,116,1,4468
1,28,28822,179,15,5894,856,0,4468
2,0,2272,12,2,469,0,1,4468
3,15,21784,179,9,10362,0,0,4468
4,20,22594,187,15,8114,304,0,4468
5,3,14252,71,2,6710,0,1,4468
6,13,28099,181,8,6507,344,0,4468
7,13,25636,140,10,10248,393,1,4468
8,0,600,0,0,0,300,1,4468
9,11,15176,158,15,5208,1994,0,4468
10,2,23468,71,4,5267,30,1,4468
11,10,13081,119,8,5194,737,1,4468
12,26,30483,211,21,10986,0,0,4468
13,14,31160,229,24,9312,463,1,4468
14,35,24426,122,13,5707,0,0,4468
15,18,25782,164,14,5975,716,0,4468
16,3,8663,57,4,5516,133,0,4198
17,6,11319,96,1,4335,314,1,4198
18,9,36645,246,4,7455,0,0,4198
19,2,31668,286,9,7778,730,0,4198
20,0,5597,31,0,1885,0,1,4198
21,1,2654,20,5,1598,55,1,4198
22,3,13134,66,0,1965,0,1,4198
23,4,13602,89,3,4035,0,1,4198
24,0,16361,109,8,6305,63,1,4198
25,0,7823,52,0,3225,0,1,4198
26,17,28680,237,19,7163,1089,0,4468
27,14,16489,92,4,5200,0,0,4468
28,12,18454,81,5,8578,0,1,4468
29,20,21491,97,17,3333,0,1,4468
30,13,17882,99,9,8024,0,0,4468
31,6,22292,115,27,8311,130,1,4468
32,1,1758,32,6,536,0,1,4468
33,0,415,19,0,176,0,1,4468
34,22,34850,268,35,3368,4402,0,4468
35,37,68927,506,53,8342,22080,0,4468
36,1,23008,174,8,3510,70,1,4468
37,0,0,0,0,0,0,1,4468
38,1,8237,49,6,2009,0,1,4468
39,32,48169,374,24,13911,125,0,4468
40,7,8617,52,3,580,0,1,4468
41,5,7369,54,6,1200,0,1,4468
42,3,3146,21,3,551,0,1,4468
43,3,6260,36,4,982,0,1,4468
44,0,0,0,0,0,0,1,4468
45,3,10781,117,4,4634,426,1,4468
46,8,22843,158,11,7234,471,0,4468
47,25,21674,164,15,6756,682,0,4468
48,1,6298,67,0,2297,0,1,4468
49,15,13670,87,11,5913,0,0,4468
50,4,17779,69,5,3707,13,1,4468
51,2,13257,71,3,2569,300,1,4468
52,0,5799,68,1,2782,308,1,4468
53,27,54855,652,96,14547,2966,0,4468
54,12,15416,95,11,2201,1240,0,4468
55,49,41918,352,38,13142,465,0,4468
56,0,1978,14,3,600,0,0,4468
57,9,15004,62,5,6714,0,0,4468
58,24,23160,208,17,8089,1244,1,4468
59,29,36204,290,18,8924,3988,0,4468
60,20,15926,113,5,6116,0,0,4468
61,27,54932,324,39,7970,4740,0,4468
62,10,23787,212,23,5286,4756,0,4468
63,11,13528,92,7,3913,640,0,4468
64,12,27716,194,19,11199,3552,0,4468
65,18,33751,241,24,9517,1472,0,4468
66,10,15468,117,6,3383,0,1,4468
67,15,9727,101,5,2366,0,0,4468
68,6,13381,47,9,10,324,0,4468
69,8,14285,73,5,5324,0,0,4198
70,22,36890,260,13,14279,2074,0,4198
71,0,0,0,0,0,0,1,4198
72,0,2803,11,2,925,0,1,4198
73,17,31559,195,16,13185,34,0,4198
74,16,28248,229,10,5238,568,1,4198
75,10,37882,233,12,14484,2646,0,4198
76,1,9630,69,8,2569,0,0,4198
77,0,0,0,0,0,0,1,4198
78,3,17532,93,6,3948,0,0,4198
79,13,28105,140,14,10365,2053,0,4198
80,0,2000,11,2,1502,0,0,4198
81,6,13707,110,7,4077,41,0,4198
82,6,3492,39,3,692,243,1,4198
83,0,6907,59,0,2821,0,1,4198
84,13,55090,358,20,16105,2902,0,4198
85,17,26381,117,7,15533,847,0,4198
86,6,7519,24,1,136,0,0,4198
87,0,3813,46,0,2986,0,1,4198
88,15,28906,179,26,7300,0,0,4198
89,0,7042,113,3,1391,0,1,4198
90,7,4344,75,3,478,0,0,4198
91,25,42519,229,13,10225,3827,1,4198
92,1,11988,107,2,6043,0,1,4198
93,0,14528,133,12,7467,433,1,4198
94,7,2478,21,1,323,0,1,4198
95,7,7554,37,1,3175,0,1,4198
96,4,9631,61,8,5120,0,1,4198
97,6,14257,137,6,5234,300,1,4198
98,2,16675,133,6,5302,0,0,4198
99,10,18637,93,4,7951,449,0,4198
100,6,4432,52,4,1008,830,1,4198
101,0,3943,14,0,12,0,1,4198
102,0,0,0,0,0,0,1,4198
103,10,3229,33,4,0,1088,1,4198
104,5,13221,52,10,5787,0,0,4198
105,4,8265,60,2,3020,8,1,4198
106,1,4405,22,7,2103,0,1,4198
107,7,3725,31,7,0,0,1,4198
108,0,2644,9,0,1386,0,1,4198
109,6,6489,58,8,2716,0,1,4198
110,0,3541,16,2,2849,0,1,4198
111,21,20871,143,5,6464,0,1,4198
112,13,22289,99,10,7541,196,0,4198
113,0,10786,61,2,4366,0,1,4198
114,12,31709,264,8,10838,906,1,4198
115,11,31588,272,7,12130,0,0,4198
116,16,26934,125,11,11971,0,0,4198
117,0,0,1,0,0,0,1,4198
118,25,36060,356,26,15250,375,0,4198
119,25,51653,389,39,16946,1705,0,4916
120,36,43339,319,29,10992,1550,0,4916
121,2,12885,59,2,6382,0,1,4916
122,4,13152,70,11,4170,0,1,4916
123,12,16202,152,26,3808,1721,1,4916
124,25,17490,124,6,5265,325,0,4916
125,8,5751,54,13,1009,0,1,4916
126,0,1200,4,1,0,0,1,4916
127,3,2088,30,6,0,0,1,4916
